reportingFacilityCode,totalParQuantity,shortParQuantity,marketCode,tradeReportDate,securitiesInformationProcessorSymbolIdentifier,shortExemptParQuantity
NQTRF,26074.239517,6134.0,Q,2026-03-18,CURR,0
NYTRF,1051.0,764.0,N,2026-03-18,CURR,0
NQTRF,41289.757958,16416.714285,Q,2026-04-07,CURR,0
NYTRF,925.0,104.0,N,2026-04-07,CURR,0
NQTRF,37448.218255,20908.0,Q,2026-04-24,CURR,0
NYTRF,597.0,297.0,N,2026-04-24,CURR,0
NQTRF,28794.919963,8612.0,Q,2026-03-24,CURR,280
NCTRF,4392.0,137.0,B,2026-03-25,CURR,0
NQTRF,37185.62108,7755.315789,Q,2026-03-25,CURR,0
NYTRF,2802.0,96.0,N,2026-03-25,CURR,0
NQTRF,28516.0,16381.0,Q,2026-01-20,CURR,0
NYTRF,373.0,372.0,N,2026-01-20,CURR,0
NQTRF,23976.0,13230.0,Q,2026-02-02,CURR,0
NYTRF,528.0,126.0,N,2026-02-02,CURR,0
NCTRF,1654.0,354.0,B,2026-01-05,CURR,64
NQTRF,41005.0,26035.0,Q,2026-01-05,CURR,0
NYTRF,1629.0,1016.0,N,2026-01-05,CURR,0
NQTRF,144689.0,112088.0,Q,2026-01-26,CURR,0
NYTRF,6876.0,1751.0,N,2026-01-26,CURR,0
NQTRF,33128.0,14341.0,Q,2026-01-29,CURR,0
NYTRF,918.0,119.0,N,2026-01-29,CURR,0
NCTRF,49596.0,37082.0,B,2025-11-03,CURR,5076
NQTRF,6001176.0,3525009.0,Q,2025-11-03,CURR,353911
NYTRF,261122.0,136079.0,N,2025-11-03,CURR,1314
NCTRF,3386.0,3300.0,B,2026-01-21,CURR,0
NQTRF,66908.0,38338.0,Q,2026-01-21,CURR,0
NYTRF,1113.0,3.0,N,2026-01-21,CURR,0
NCTRF,2959.0,900.0,B,2026-01-30,CURR,0
NQTRF,74094.0,40619.0,Q,2026-01-30,CURR,0
NYTRF,1369.0,169.0,N,2026-01-30,CURR,0
NQTRF,64551.0,18711.0,Q,2025-10-10,CURR,0
NQTRF,68432.0,13303.0,Q,2025-10-06,CURR,0
NCTRF,1547.0,700.0,B,2026-02-17,CURR,0
NQTRF,116089.0,103006.0,Q,2026-02-17,CURR,0
NYTRF,8264.0,6220.0,N,2026-02-17,CURR,0
NQTRF,69946.0,28141.0,Q,2026-01-12,CURR,10
NYTRF,1026.0,12.0,N,2026-01-12,CURR,0
NCTRF,1100.0,400.0,B,2026-02-03,CURR,0
NQTRF,103840.0,49503.0,Q,2026-02-03,CURR,0
NYTRF,1958.0,1619.0,N,2026-02-03,CURR,0
NCTRF,400.0,100.0,B,2026-02-04,CURR,0
NQTRF,17695.0,13434.0,Q,2026-02-04,CURR,0
NYTRF,1132.0,786.0,N,2026-02-04,CURR,0
NCTRF,5691.0,3248.0,B,2026-02-09,CURR,0
NQTRF,220787.0,130444.0,Q,2026-02-09,CURR,0
NYTRF,11042.0,5935.0,N,2026-02-09,CURR,0
NCTRF,6637.0,5137.0,B,2026-01-02,CURR,200
NQTRF,332009.0,214711.0,Q,2026-01-02,CURR,15064
NYTRF,76067.0,39185.0,N,2026-01-02,CURR,150
NCTRF,3322.0,2401.0,B,2025-11-04,CURR,0
NQTRF,655720.0,338398.0,Q,2025-11-04,CURR,23203
NYTRF,36389.0,17267.0,N,2025-11-04,CURR,0
NQTRF,29851.0,2538.0,Q,2025-10-14,CURR,0
NQTRF,61243.0,19443.0,Q,2025-10-07,CURR,0
NQTRF,18809.0,11277.0,Q,2026-01-22,CURR,0
NYTRF,2357.0,357.0,N,2026-01-22,CURR,0
NCTRF,158.0,57.0,B,2026-01-23,CURR,0
NQTRF,69864.0,29260.0,Q,2026-01-23,CURR,0
NYTRF,855.0,455.0,N,2026-01-23,CURR,0
NCTRF,111.0,100.0,B,2026-01-28,CURR,0
NQTRF,36701.0,23396.0,Q,2026-01-28,CURR,0
NYTRF,1687.0,1587.0,N,2026-01-28,CURR,0
NCTRF,1588.0,186.0,B,2026-02-12,CURR,0
NQTRF,51581.0,19956.0,Q,2026-02-12,CURR,2000
NYTRF,1297.0,1029.0,N,2026-02-12,CURR,0
NCTRF,103.0,101.0,B,2026-01-06,CURR,0
NQTRF,38127.0,25099.0,Q,2026-01-06,CURR,0
NYTRF,651.0,651.0,N,2026-01-06,CURR,0
NCTRF,700.0,500.0,B,2025-12-29,CURR,0
NQTRF,80044.0,22244.0,Q,2025-12-29,CURR,0
NYTRF,119.0,118.0,N,2025-12-29,CURR,0
NQTRF,62775.0,33491.0,Q,2025-12-22,CURR,0
NYTRF,2860.0,2388.0,N,2025-12-22,CURR,0
NCTRF,12586.0,8125.0,B,2025-10-31,CURR,0
NQTRF,444813.0,141581.0,Q,2025-10-31,CURR,0
NYTRF,48061.0,11183.0,N,2025-10-31,CURR,0
NQTRF,147092.0,51542.0,Q,2025-10-27,CURR,0
NYTRF,16176.0,200.0,N,2025-10-27,CURR,0
NCTRF,3240.0,2800.0,B,2025-10-16,CURR,0
NQTRF,266191.0,62636.0,Q,2025-10-16,CURR,0
NYTRF,33602.0,32.0,N,2025-10-16,CURR,0
NCTRF,1620.0,1620.0,B,2025-10-15,CURR,0
NQTRF,266887.0,89990.0,Q,2025-10-15,CURR,0
NCTRF,801.0,200.0,B,2025-10-03,CURR,0
NQTRF,150209.0,48248.0,Q,2025-10-03,CURR,0
NYTRF,81460.0,100.0,N,2025-10-03,CURR,0
NCTRF,101.0,100.0,B,2026-01-15,CURR,0
NQTRF,42191.0,12136.0,Q,2026-01-15,CURR,0
NYTRF,91.0,91.0,N,2026-01-15,CURR,0
NCTRF,800.0,800.0,B,2026-01-27,CURR,0
NQTRF,32995.0,17344.0,Q,2026-01-27,CURR,0
NYTRF,488.0,401.0,N,2026-01-27,CURR,0
NCTRF,2000.0,100.0,B,2026-02-06,CURR,0
NQTRF,52652.0,15873.0,Q,2026-02-06,CURR,0
NYTRF,3301.0,2263.0,N,2026-02-06,CURR,0
NCTRF,600.0,200.0,B,2026-02-05,CURR,0
NQTRF,37775.0,19395.0,Q,2026-02-05,CURR,0
NYTRF,1631.0,630.0,N,2026-02-05,CURR,0
NCTRF,2499.0,1658.0,B,2026-02-11,CURR,0
NQTRF,188398.0,91890.0,Q,2026-02-11,CURR,0
NYTRF,10645.0,5194.0,N,2026-02-11,CURR,0
NCTRF,10943.0,9457.0,B,2025-10-29,CURR,0
NQTRF,472391.0,177393.0,Q,2025-10-29,CURR,21787
NYTRF,28902.0,3262.0,N,2025-10-29,CURR,0
NCTRF,200.0,200.0,B,2025-10-09,CURR,0
NQTRF,46515.0,10345.0,Q,2025-10-09,CURR,0
NYTRF,3132.0,300.0,N,2025-10-09,CURR,0
NCTRF,201.0,200.0,B,2026-01-09,CURR,0
NQTRF,31444.0,14863.0,Q,2026-01-09,CURR,0
NYTRF,1221.0,1006.0,N,2026-01-09,CURR,0
NCTRF,1800.0,1300.0,B,2026-01-13,CURR,0
NQTRF,81417.0,61820.0,Q,2026-01-13,CURR,1818
NYTRF,6246.0,6106.0,N,2026-01-13,CURR,0
NCTRF,3540.0,3039.0,B,2026-01-14,CURR,0
NQTRF,74232.0,48735.0,Q,2026-01-14,CURR,0
NYTRF,3088.0,1577.0,N,2026-01-14,CURR,0
NQTRF,37784.0,17977.0,Q,2026-01-16,CURR,31
NYTRF,3803.0,3802.0,N,2026-01-16,CURR,0
NQTRF,48478.0,29504.0,Q,2025-12-30,CURR,0
NYTRF,753.0,753.0,N,2025-12-30,CURR,0
NCTRF,2600.0,1800.0,B,2025-12-15,CURR,0
NQTRF,139761.0,81338.0,Q,2025-12-15,CURR,1324
NYTRF,1744.0,1394.0,N,2025-12-15,CURR,0
NCTRF,8079.0,4550.0,B,2025-11-05,CURR,250
NQTRF,548623.0,325636.0,Q,2025-11-05,CURR,45100
NYTRF,49218.0,11606.0,N,2025-11-05,CURR,0
NQTRF,42083.0,7188.0,Q,2025-10-20,CURR,0
NQTRF,76051.0,51801.0,Q,2025-10-08,CURR,0
NYTRF,1693.0,100.0,N,2025-10-08,CURR,0
NQTRF,40952.0,4831.0,Q,2025-10-02,CURR,0
NYTRF,2727.0,25.0,N,2025-10-02,CURR,0
NQTRF,108690.0,24060.0,Q,2025-09-30,CURR,100
NYTRF,16722.0,1.0,N,2025-09-30,CURR,0
NQTRF,170650.0,28852.0,Q,2025-09-29,CURR,0
NCTRF,702.0,702.0,B,2026-01-07,CURR,0
NQTRF,27369.0,16226.0,Q,2026-01-07,CURR,0
NYTRF,5593.0,3540.0,N,2026-01-07,CURR,0
NCTRF,1985.0,1385.0,B,2026-02-10,CURR,0
NQTRF,144740.0,60630.0,Q,2026-02-10,CURR,1857
NYTRF,8084.0,3733.0,N,2026-02-10,CURR,0
NCTRF,2100.0,100.0,B,2026-02-18,CURR,0
NQTRF,36589.0,7385.0,Q,2026-02-18,CURR,100
NYTRF,1987.0,1867.0,N,2026-02-18,CURR,0
NCTRF,100.0,100.0,B,2025-12-01,CURR,0
NQTRF,53474.0,22641.0,Q,2025-12-01,CURR,0
NCTRF,2507.0,405.0,B,2025-10-30,CURR,0
NQTRF,219357.0,90188.0,Q,2025-10-30,CURR,23
NYTRF,31615.0,1279.0,N,2025-10-30,CURR,0
NCTRF,12986.0,10328.0,B,2025-10-28,CURR,0
NQTRF,774380.0,239174.0,Q,2025-10-28,CURR,636
NYTRF,171261.0,7764.0,N,2025-10-28,CURR,0
NCTRF,4498.0,300.0,B,2025-10-17,CURR,0
NQTRF,111600.0,35352.0,Q,2025-10-17,CURR,0
NYTRF,11469.0,8.0,N,2025-10-17,CURR,0
NQTRF,33690.0,14191.0,Q,2025-10-13,CURR,3800
NYTRF,1916.0,200.0,N,2025-10-13,CURR,0
NCTRF,3400.0,300.0,B,2026-02-13,CURR,0
NQTRF,31278.0,12278.0,Q,2026-02-13,CURR,56
NYTRF,5760.0,3564.0,N,2026-02-13,CURR,0
NQTRF,16221.0,7986.0,Q,2026-02-20,CURR,0
NYTRF,228.0,6.0,N,2026-02-20,CURR,0
NCTRF,101.0,100.0,B,2025-12-31,CURR,0
NQTRF,60180.0,17783.0,Q,2025-12-31,CURR,0
NYTRF,2279.0,1279.0,N,2025-12-31,CURR,0
NCTRF,6735.0,6635.0,B,2025-11-17,CURR,0
NQTRF,208070.0,105391.0,Q,2025-11-17,CURR,602
NYTRF,25571.0,2643.0,N,2025-11-17,CURR,0
NCTRF,2207.0,606.0,B,2025-11-10,CURR,0
NQTRF,363089.0,214634.0,Q,2025-11-10,CURR,1401
NYTRF,29528.0,15264.0,N,2025-11-10,CURR,0
NCTRF,1200.0,1200.0,B,2025-10-24,CURR,0
NQTRF,69013.0,18088.0,Q,2025-10-24,CURR,0
NYTRF,14005.0,62.0,N,2025-10-24,CURR,0
NQTRF,148969.0,24029.0,Q,2025-10-22,CURR,5395
NYTRF,11600.0,29.0,N,2025-10-22,CURR,0
NQTRF,74895.0,24747.0,Q,2025-10-21,CURR,0
NYTRF,13937.0,8400.0,N,2025-10-21,CURR,0
NCTRF,100.0,100.0,B,2025-10-01,CURR,0
NQTRF,31887.0,4362.0,Q,2025-10-01,CURR,0
NYTRF,5183.0,113.0,N,2025-10-01,CURR,0
NQTRF,32972.0,10001.0,Q,2025-09-22,CURR,0
NYTRF,3995.0,988.0,N,2025-09-22,CURR,0
NQTRF,29127.0,11172.0,Q,2026-01-08,CURR,0
NYTRF,810.0,807.0,N,2026-01-08,CURR,0
NCTRF,1000.0,1000.0,B,2025-12-23,CURR,0
NQTRF,135555.0,61230.0,Q,2025-12-23,CURR,0
NYTRF,8626.0,2123.0,N,2025-12-23,CURR,0
NQTRF,34540.0,18495.0,Q,2025-12-19,CURR,0
NYTRF,1444.0,325.0,N,2025-12-19,CURR,0
NCTRF,1793.0,1000.0,B,2025-12-18,CURR,0
NQTRF,62961.0,25062.0,Q,2025-12-18,CURR,0
NYTRF,6867.0,4719.0,N,2025-12-18,CURR,0
NCTRF,3000.0,1300.0,B,2025-12-11,CURR,0
NQTRF,50744.0,19898.0,Q,2025-12-11,CURR,0
NYTRF,1296.0,232.0,N,2025-12-11,CURR,0
NQTRF,8484.0,2431.0,Q,2026-02-19,CURR,0
NYTRF,117.0,7.0,N,2026-02-19,CURR,0
NCTRF,500.0,200.0,B,2025-12-12,CURR,0
NQTRF,52468.0,23148.0,Q,2025-12-12,CURR,423
NYTRF,1887.0,1593.0,N,2025-12-12,CURR,0
NCTRF,2172.0,400.0,B,2025-11-20,CURR,0
NQTRF,254232.0,67214.0,Q,2025-11-20,CURR,5690
NYTRF,90491.0,2845.0,N,2025-11-20,CURR,0
NCTRF,830.0,130.0,B,2025-11-06,CURR,0
NQTRF,174937.0,98538.0,Q,2025-11-06,CURR,12503
NYTRF,17620.0,1852.0,N,2025-11-06,CURR,0
NCTRF,338.0,300.0,B,2025-12-17,CURR,0
NQTRF,115773.0,66083.0,Q,2025-12-17,CURR,275
NYTRF,2371.0,27.0,N,2025-12-17,CURR,0
NCTRF,2957.0,1757.0,B,2025-12-16,CURR,0
NQTRF,129088.0,104866.0,Q,2025-12-16,CURR,2653
NYTRF,8876.0,7871.0,N,2025-12-16,CURR,0
NCTRF,2700.0,600.0,B,2025-12-09,CURR,0
NQTRF,62352.0,30272.0,Q,2025-12-09,CURR,0
NQTRF,65689.0,29636.0,Q,2025-12-05,CURR,0
NCTRF,305.0,105.0,B,2025-12-02,CURR,0
NQTRF,55498.0,23628.0,Q,2025-12-02,CURR,0
NYTRF,10943.0,118.0,N,2025-12-02,CURR,0
NCTRF,900.0,900.0,B,2025-11-21,CURR,0
NQTRF,36433.0,19004.0,Q,2025-11-21,CURR,73
NCTRF,1574.0,620.0,B,2025-11-14,CURR,0
NQTRF,82887.0,26105.0,Q,2025-11-14,CURR,0
NYTRF,19565.0,844.0,N,2025-11-14,CURR,0
NQTRF,82086.0,22641.0,Q,2025-10-23,CURR,3267
NYTRF,1242.0,501.0,N,2025-10-23,CURR,500
NQTRF,36797.0,11451.0,Q,2025-09-25,CURR,0
NYTRF,3656.0,3520.0,N,2025-09-25,CURR,0
NCTRF,600.0,600.0,B,2025-09-24,CURR,0
NQTRF,43528.0,20047.0,Q,2025-09-24,CURR,0
NYTRF,2178.0,1878.0,N,2025-09-24,CURR,0
NQTRF,15068.0,8612.0,Q,2025-09-23,CURR,0
NYTRF,3567.0,3512.0,N,2025-09-23,CURR,0
NQTRF,21270.0,11172.0,Q,2025-09-15,CURR,16
NYTRF,1230.0,23.0,N,2025-09-15,CURR,0
NQTRF,15128.0,5135.0,Q,2025-09-02,CURR,0
