ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,dataset
2026-05-18 13:57:51.790296483+00:00,2026-05-18 13:57:51.790077178+00:00,0,43,19474,T,N,0,3.02,110,0,199610,12128142,CURR,ARCX.PILLAR
2026-05-18 13:57:51.790348819+00:00,2026-05-18 13:57:51.790138635+00:00,0,43,19474,T,B,0,3.02,140,0,199644,12128144,CURR,ARCX.PILLAR
2026-05-18 13:58:09.234226630+00:00,2026-05-18 13:58:09.234015240+00:00,0,43,19474,T,N,0,3.02,100,128,199606,12177085,CURR,ARCX.PILLAR
2026-05-18 13:58:23.510970354+00:00,2026-05-18 13:58:23.510757491+00:00,0,43,19474,T,B,0,3.03,1000,0,199550,12233324,CURR,ARCX.PILLAR
2026-05-18 13:59:53.144654575+00:00,2026-05-18 13:59:53.144440531+00:00,0,43,19474,T,A,0,3.0,100,0,199752,12520546,CURR,ARCX.PILLAR
2026-05-18 14:00:30.152601664+00:00,2026-05-18 14:00:30.152377254+00:00,0,43,19474,T,A,0,3.0,1,0,199651,12668662,CURR,ARCX.PILLAR
2026-05-18 14:00:50.950379809+00:00,2026-05-18 14:00:50.950157904+00:00,0,43,19474,T,N,0,2.96,100,0,199685,12733707,CURR,ARCX.PILLAR
2026-05-18 14:00:50.950379809+00:00,2026-05-18 14:00:50.950157904+00:00,0,43,19474,T,N,0,2.96,100,0,199685,12733708,CURR,ARCX.PILLAR
2026-05-18 14:00:50.950379809+00:00,2026-05-18 14:00:50.950157904+00:00,0,43,19474,T,N,0,2.96,100,128,199685,12733709,CURR,ARCX.PILLAR
2026-05-18 14:00:50.963076293+00:00,2026-05-18 14:00:50.962862350+00:00,0,43,19474,T,N,0,2.96,100,0,199460,12733737,CURR,ARCX.PILLAR
2026-05-18 14:00:50.963076293+00:00,2026-05-18 14:00:50.962862350+00:00,0,43,19474,T,N,0,2.96,110,128,199460,12733738,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249724599+00:00,2026-05-18 14:02:20.249509021+00:00,0,43,19474,T,B,0,3.03,1000,0,199854,12988010,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249734495+00:00,2026-05-18 14:02:20.249509349+00:00,0,43,19474,T,B,0,3.03,100,0,199725,12988011,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249743474+00:00,2026-05-18 14:02:20.249509994+00:00,0,43,19474,T,B,0,3.03,200,0,200027,12988012,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249743474+00:00,2026-05-18 14:02:20.249511335+00:00,0,43,19474,T,B,0,3.03,350,0,200027,12988013,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249750794+00:00,2026-05-18 14:02:20.249518299+00:00,0,43,19474,T,B,0,3.03,150,0,199697,12988015,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249794074+00:00,2026-05-18 14:02:20.249581838+00:00,0,43,19474,T,B,0,3.03,100,0,199642,12988022,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249876059+00:00,2026-05-18 14:02:20.249650494+00:00,0,43,19474,T,B,0,3.03,21,0,199713,12988029,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249897103+00:00,2026-05-18 14:02:20.249683123+00:00,0,43,19474,T,B,0,3.03,79,0,199646,12988034,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249903296+00:00,2026-05-18 14:02:20.249683417+00:00,0,43,19474,T,B,0,3.03,100,0,199711,12988035,CURR,ARCX.PILLAR
2026-05-18 14:02:20.249911525+00:00,2026-05-18 14:02:20.249683881+00:00,0,43,19474,T,N,0,3.03,900,128,199767,12988036,CURR,ARCX.PILLAR
2026-05-18 14:04:58.844878984+00:00,2026-05-18 14:04:58.844663813+00:00,0,43,19474,T,B,0,3.08,9,0,199632,13451941,CURR,ARCX.PILLAR
2026-05-18 14:04:58.844907031+00:00,2026-05-18 14:04:58.844686724+00:00,0,43,19474,T,N,0,3.08,9,128,199701,13451942,CURR,ARCX.PILLAR
2026-05-18 14:04:58.844915477+00:00,2026-05-18 14:04:58.844687739+00:00,0,43,19474,T,N,0,3.08,55,0,199516,13451943,CURR,ARCX.PILLAR
2026-05-18 14:04:58.844915477+00:00,2026-05-18 14:04:58.844687739+00:00,0,43,19474,T,B,0,3.09,125,0,199516,13451944,CURR,ARCX.PILLAR
2026-05-18 14:04:58.845585881+00:00,2026-05-18 14:04:58.845374959+00:00,0,43,19474,T,B,0,3.09,55,0,199427,13451964,CURR,ARCX.PILLAR
2026-05-18 14:04:58.845629576+00:00,2026-05-18 14:04:58.845419389+00:00,0,43,19474,T,N,0,3.09,55,128,199744,13451965,CURR,ARCX.PILLAR
2026-05-18 14:04:58.846001207+00:00,2026-05-18 14:04:58.845790661+00:00,0,43,19474,T,N,0,3.09,9,128,199547,13451978,CURR,ARCX.PILLAR
2026-05-18 14:06:14.010279768+00:00,2026-05-18 14:06:14.010054888+00:00,0,43,19474,T,A,0,3.09,1,0,199699,13784663,CURR,ARCX.PILLAR
